bin_size,K,min_bin_n,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,n_folds
120,1.0,3,0.1168933092658903,0.0050080443918426275,0.7951211788470742,0.16949268521158684,5
120,1.0,1,0.1171569202277041,0.004878495537826074,0.7957447062700631,0.16847506698283507,5
120,1.0,2,0.11747145600933655,0.004962330176959824,0.796323145619547,0.16838404117346895,5
120,3.0,1,0.11747024684841756,0.005525386891822685,0.8085953045949221,0.1735069877101832,5
120,3.0,3,0.11728062669316604,0.00560474279692442,0.8086845577184196,0.1737972343032785,5
120,3.0,2,0.11762751473923379,0.005570176351891178,0.8089650558117529,0.17343460703857908,5
120,5.0,1,0.11756730764717585,0.005870167059395123,0.8225645294916741,0.17577157103791488,5
120,5.0,3,0.11742437573195734,0.005927958018416071,0.8227582004372372,0.17588466082720022,5
120,5.0,2,0.11767215290772,0.0059012991047315815,0.8228255010717737,0.17571751916976408,5
120,10.0,1,0.11759512428799823,0.006305827956798081,0.8512393364165989,0.17766699347312506,5
120,10.0,2,0.1176523126119314,0.0063237844393310705,0.8513857616793032,0.17763501200227172,5
120,10.0,3,0.11750777592606984,0.006340385934052222,0.8514238754543761,0.17767857683460553,5
