scenario_id,origin_stop_query,depart_hhmm,day_name,result_rows,best_eta_min,avg_top5_score,all_open_on_arrival,all_have_route_or_walk
malioboro_umum_sabtu_0900,Malioboro 1,09:00,Sabtu,12,1.884910922972243,0.8806101727415434,1,1
malioboro_budaya_sabtu_0900,Malioboro 1,09:00,Sabtu,12,13.331683165277386,0.8541985130534797,1,1
jombor_keluarga_sabtu_0900,Terminal Jombor,09:00,Sabtu,12,13.529600978176267,0.7559811806691781,1,1
adisutjipto_umum_sabtu_0900,Bandara Adisujtipto,09:00,Sabtu,12,19.4528344768081,0.8338798074911346,1,1
