bin_size,K,min_bin_n,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,n_folds
3,1.0,3,0.11786724301862612,0.007585526779106406,0.966764322022823,0.17586235924036306,5
3,3.0,3,0.11788425578569768,0.007589005766541857,0.9667713175615539,0.1758601798288513,5
3,5.0,3,0.11789276216923347,0.0075907661107316605,0.9667765641094734,0.17585854565331122,5
3,10.0,3,0.11790257722715938,0.007592814533078486,0.9667840664114806,0.17585620938499924,5
5,10.0,3,0.11796044313170828,0.007589916089063521,0.966795453450415,0.175854103526313,5
10,10.0,3,0.11814581815366125,0.007576270984477429,0.9667977917749239,0.17584633737757502,5
3,1.0,5,0.11791828131984083,0.007596130428993993,0.9667992980994222,0.17585146802008159,5
3,3.0,5,0.11791828131984083,0.007596130428993993,0.9667992980994222,0.17585146802008159,5
3,5.0,5,0.11791828131984083,0.007596130428993993,0.9667992980994222,0.17585146802008159,5
3,10.0,5,0.11791828131984083,0.007596130428993993,0.9667992980994222,0.17585146802008159,5
5,1.0,5,0.11791828131984083,0.007596130428993993,0.9667992980994222,0.17585146802008159,5
5,3.0,5,0.11791828131984083,0.007596130428993993,0.9667992980994222,0.17585146802008159,5
5,5.0,5,0.11791828131984083,0.007596130428993993,0.9667992980994222,0.17585146802008159,5
5,10.0,5,0.11791828131984083,0.007596130428993993,0.9667992980994222,0.17585146802008159,5
5,5.0,3,0.11798713302421227,0.007586264182134171,0.9668004711086302,0.17585484227011228,5
10,10.0,5,0.11793590085073843,0.007594786708627667,0.966801881236616,0.17585133550612406,5
10,5.0,5,0.11794442229659075,0.0075941954170955644,0.9668050267294046,0.17585117434834197,5
10,3.0,5,0.11795070125669242,0.007593784174762323,0.9668081588046661,0.17585101410147255,5
5,3.0,3,0.11801044493642869,0.00758324111101841,0.966809213618631,0.17585494752269948,5
10,1.0,5,0.1179609709261299,0.007593156275595986,0.966814805472415,0.17585067477567842,5
10,5.0,3,0.11827913712614593,0.007565643541194191,0.9668268842011767,0.17584224038869034,5
5,1.0,3,0.11805750237377269,0.007577585526691244,0.9668384644510841,0.1758537378853238,5
3,10.0,1,0.11924464581623806,0.007570828021484595,0.9668676993692511,0.17584267558200342,5
10,3.0,3,0.1183901601892254,0.007557409467787571,0.9668687525494221,0.17583828464050547,5
10,1.0,3,0.11860172505636957,0.007543378036396181,0.9669950844245039,0.1758295366156792,5
5,10.0,1,0.120533052305381,0.007374809909973593,0.9670556031458188,0.17578845804414453,5
3,5.0,1,0.12033164060732246,0.007549403536503448,0.9673577921358383,0.1757666890309965,5
5,5.0,1,0.1226594525112574,0.007200299805536248,0.9679039552425133,0.1756099684860636,5
3,3.0,1,0.1215114973185116,0.007526983676509243,0.9683410446503015,0.1756169539403564,5
10,10.0,1,0.12254317532180783,0.007378439923874649,0.9687694937906777,0.17485467820665893,5
5,3.0,1,0.12495537600984538,0.007017549659783913,0.9694721704387383,0.175298355811464,5
10,5.0,1,0.12626579517403866,0.007208966371769432,0.9731888996645823,0.1724959764482167,5
3,1.0,1,0.1249783999482765,0.007476210644784232,0.9740017416421924,0.1748584184796423,5
5,1.0,1,0.13165250223141536,0.006519331888667215,0.9779678259183283,0.17379166644735386,5
10,3.0,1,0.130261911926123,0.007033201468733422,0.9808246444093822,0.16851995318565133,5
10,1.0,1,0.14184182607795184,0.006566288459626094,1.0194164125895029,0.15191745751982622,5
