route_dir,route_id,direction_id,trip_id_representative,stop_sequence_canonical,stop_id,stop_name
10_0,10,0,10_D0_T001,0,HT_134,Pasar Gamping - A
10_0,10,0,10_D0_T001,1,HT_152,Pelem Gurih - A
10_0,10,0,10_D0_T001,2,HT_015,Bayeman - A
10_0,10,0,10_D0_T001,3,HT_039,Eks Hotel Nataputra
10_0,10,0,10_D0_T001,4,HT_193,SMP Muh 3
10_0,10,0,10_D0_T001,5,HT_120,Mualimin - A
10_0,10,0,10_D0_T001,6,HT_240,Tamansari
10_0,10,0,10_D0_T001,7,HT_075,KHA Dahlan - A
10_0,10,0,10_D0_T001,8,HT_213,Senopati
10_0,10,0,10_D0_T001,9,HT_235,Suryotomo
10_0,10,0,10_D0_T001,10,HT_077,KR - A
10_0,10,0,10_D0_T001,11,HT_043,Flyover Lempuyangan
10_0,10,0,10_D0_T001,12,HT_101,Lempuyangan
10_0,10,0,10_D0_T001,13,HT_007,BKPM
10_0,10,0,10_D0_T001,14,HT_237,TNI AL - A
10_0,10,0,10_D0_T001,15,HT_191,SMKN 5 - A
10_0,10,0,10_D0_T001,16,HT_183,SGM Kusumanegara - A
10_0,10,0,10_D0_T001,17,HT_237,TNI AL - A
10_0,10,0,10_D0_T001,18,HT_241,Tarumartani - A
10_0,10,0,10_D0_T001,19,HT_192,SMP Kanisius Gayam - A
10_0,10,0,10_D0_T001,20,HT_110,Malioboro 1
10_0,10,0,10_D0_T001,21,HT_110,Malioboro 1
10_0,10,0,10_D0_T001,22,HT_111,Malioboro 2
10_0,10,0,10_D0_T001,23,HT_112,Malioboro 3
10_0,10,0,10_D0_T001,24,HT_075,KHA Dahlan - A
10_0,10,0,10_D0_T001,25,HT_125,Ngabean
10_0,10,0,10_D0_T001,26,HT_102,Letjen Suprapto
10_0,10,0,10_D0_T001,27,HT_184,SMA Muh 3
10_0,10,0,10_D0_T001,28,HT_121,Museum Bahari
10_0,10,0,10_D0_T001,29,HT_132,Park and Ride Gamping
11_0,11,0,11_D0_T001,0,HT_148,Pasar Telo - A
11_0,11,0,11_D0_T001,1,HT_072,Jogokariyan - A
11_0,11,0,11_D0_T001,2,HT_053,Hotel Pramesthi
11_0,11,0,11_D0_T001,3,HT_178,Ruba Graha - A
11_0,11,0,11_D0_T001,4,HT_188,SMAN 7
11_0,11,0,11_D0_T001,5,HT_240,Tamansari
11_0,11,0,11_D0_T001,6,HT_147,Pasar Serangan - A
11_0,11,0,11_D0_T001,7,HT_077,KR - A
11_0,11,0,11_D0_T001,8,HT_194,SMPN 1 - A
11_0,11,0,11_D0_T001,9,HT_209,Samsat
11_0,11,0,11_D0_T001,10,HT_194,SMPN 1 - A
11_0,11,0,11_D0_T001,11,HT_219,Simpang Gesikan - A
11_0,11,0,11_D0_T001,12,HT_024,Cik Di Tiro
11_0,11,0,11_D0_T001,13,HT_194,SMPN 1 - A
11_0,11,0,11_D0_T001,14,HT_194,SMPN 1 - A
11_0,11,0,11_D0_T001,15,HT_024,Cik Di Tiro
11_0,11,0,11_D0_T001,16,HT_077,KR - A
11_0,11,0,11_D0_T001,17,HT_094,Kotabaru
11_0,11,0,11_D0_T001,18,HT_065,Jend. Sudirman - A
11_0,11,0,11_D0_T001,19,HT_031,Diponegoro
11_0,11,0,11_D0_T001,20,HT_209,Samsat
11_0,11,0,11_D0_T001,21,HT_102,Letjen Suprapto
11_0,11,0,11_D0_T001,22,HT_125,Ngabean
11_0,11,0,11_D0_T001,23,HT_073,Jokteng Kulon
11_0,11,0,11_D0_T001,24,HT_178,Ruba Graha - A
11_0,11,0,11_D0_T001,25,HT_072,Jogokariyan - A
11_0,11,0,11_D0_T001,26,HT_148,Pasar Telo - A
11_0,11,0,11_D0_T001,27,HT_246,Terminal Giwangan
12_0,12,0,12_D0_T001,0,HT_245,Terminal Condongcatur
12_0,12,0,12_D0_T001,1,HT_202,SPBU Concat - A
12_0,12,0,12_D0_T001,2,HT_160,Prayan - A
12_0,12,0,12_D0_T001,3,HT_236,Susteran Novisiat
12_0,12,0,12_D0_T001,4,HT_210,Sanata Dharma
12_0,12,0,12_D0_T001,5,HT_208,Samirono
12_0,12,0,12_D0_T001,6,HT_174,RS Panti Rapih
12_0,12,0,12_D0_T001,7,HT_266,Vokasi UGM
12_0,12,0,12_D0_T001,8,HT_042,FKG UGM - A
12_0,12,0,12_D0_T001,9,HT_175,RS Sardjito - A
12_0,12,0,12_D0_T001,10,HT_106,MM UGM
12_0,12,0,12_D0_T001,11,HT_055,Hotel Vidi
12_0,12,0,12_D0_T001,12,HT_052,Hokben Jakal - A
12_0,12,0,12_D0_T001,13,HT_233,Superindo Jakal - A
12_0,12,0,12_D0_T001,14,HT_139,Pasar Kolombo - A
12_0,12,0,12_D0_T001,15,HT_046,Gardu PLN - A
12_0,12,0,12_D0_T001,16,HT_227,Simpang Palem Raya - A
12_0,12,0,12_D0_T001,17,HT_084,Kantor Kap. Ngaglik
12_0,12,0,12_D0_T001,18,HT_165,Puskesmas Ngaglik - A
12_0,12,0,12_D0_T001,19,HT_198,SMPN 2 Ngaglik - A
12_0,12,0,12_D0_T001,20,HT_204,SPBU Monjali - A
12_0,12,0,12_D0_T001,21,HT_267,Wedangan Kampoeng - A
12_0,12,0,12_D0_T001,22,HT_216,Simpang Besi Jakal - A
12_0,12,0,12_D0_T001,23,HT_273,YAKKUM - A
12_0,12,0,12_D0_T001,24,HT_021,Boulevard UII
12_0,12,0,12_D0_T001,25,HT_021,Boulevard UII
12_0,12,0,12_D0_T001,26,HT_217,Simpang Degolan - A
12_0,12,0,12_D0_T001,27,HT_177,Raminten - A
