poi_id,nearest_stop_id,nearest_stop_name,walk_dist_m,walk_time_min
441,,,,
288,,,,
433,,,,
216,,,,
274,,,,
254,,,,
333,HT_240,Tamansari,287.6293224442585,3.595366530553231
276,,,,
106,HT_163,Purawisata - A,595.6459223474786,7.445574029343483
183,,,,
114,HT_098,Lap. Kasihan - A,403.58871604550785,5.044858950568848
458,,,,
320,,,,
401,,,,
244,HT_250,Terminal Prambanan,431.3652289525697,5.392065361907121
188,,,,
404,,,,
64,,,,
91,HT_075,KHA Dahlan - A,662.869240506371,8.285865506329639
390,,,,
329,HT_263,Universitas Aisyiyah,755.9770456923749,9.449713071154687
424,HT_246,Terminal Giwangan,887.9098840841706,11.098873551052133
199,,,,
62,HT_213,Senopati,289.41573720257827,3.6176967150322286
57,HT_213,Senopati,289.41573720257827,3.6176967150322286
238,HT_250,Terminal Prambanan,395.7130066059779,4.946412582574724
492,,,,
454,,,,
133,,,,
448,,,,
375,,,,
201,,,,
408,,,,
236,,,,
189,,,,
123,HT_018,Biologi UGM,587.7291188951923,7.346613986189904
331,HT_268,Westlake - A,689.7046420002235,8.621308025002794
191,,,,
307,,,,
219,,,,
394,,,,
435,,,,
242,,,,
473,,,,
508,,,,
453,,,,
60,HT_024,Cik Di Tiro,268.3301040166226,3.3541263002077826
352,HT_111,Malioboro 2,19.63242062812088,0.245405257851511
61,HT_207,Sahid J-Walk,237.34037831912434,2.9667547289890543
261,HT_250,Terminal Prambanan,377.0486122479738,4.713107653099672
235,HT_250,Terminal Prambanan,514.7437615709978,6.434297019637472
489,,,,
233,,,,
482,,,,
348,HT_268,Westlake - A,815.0885457381698,10.188606821727124
202,,,,
405,,,,
501,,,,
197,,,,
245,,,,
63,HT_053,Hotel Pramesthi,326.67705174828666,4.083463146853584
491,,,,
263,HT_216,Simpang Besi Jakal - A,248.80969762524256,3.110121220315532
268,,,,
157,HT_182,SDN Selomulyo - A,465.5222310205845,5.819027887757306
111,HT_258,UMY - A,373.498054029684,4.66872567537105
445,,,,
306,,,,
438,,,,
403,,,,
282,,,,
326,HT_131,Pandeyan,147.111116814714,1.838888960183925
187,,,,
356,HT_263,Universitas Aisyiyah,905.010158490122,11.312626981126524
451,,,,
144,,,,
316,HT_125,Ngabean,349.12418578011835,4.36405232225148
179,,,,
507,,,,
509,,,,
386,,,,
240,HT_250,Terminal Prambanan,823.5981697237137,10.29497712154642
248,HT_250,Terminal Prambanan,467.0661590164049,5.838326987705061
141,HT_230,Sosrowijayan,60.2166404226106,0.7527080052826325
354,HT_260,UNU,135.59666160661456,1.694958270082682
385,,,,
231,,,,
262,,,,
305,,,,
142,HT_158,Poltekkes BSI,374.8698439103961,4.685873048879952
474,,,,
402,,,,
122,,,,
127,HT_139,Pasar Kolombo - A,314.6937449571382,3.9336718119642278
128,,,,
130,,,,
119,,,,
92,HT_140,Pasar Kranggan Selatan,44.59605053516287,0.5574506316895358
251,,,,
296,,,,
82,HT_186,SMAN 1 - A,185.21960729488714,2.3152450911860893
393,,,,
406,,,,
414,,,,
75,HT_163,Purawisata - A,519.227968962649,6.490349612033112
279,,,,
150,,,,
145,,,,
81,,,,
205,,,,
496,,,,
117,HT_233,Superindo Jakal - A,38.053880578681444,0.47567350723351803
66,HT_094,Kotabaru,80.3984978835942,1.0049812235449276
