segment_id,seg_median_min,seg_mean_min,seg_n,seg_p05,seg_p95,route_id,route_median_min
HT_156->HT_046,2.0,2.0,57,2.0,2.0,3A,2.0
HT_156->HT_183,2.0,2.0,24,2.0,2.0,4B,2.0
HT_157->HT_092,1.0,1.0,20,1.0,1.0,13,2.0
HT_157->HT_124,1.0,1.0,24,1.0,1.0,13,2.0
HT_158->HT_258,2.0,2.0,46,2.0,2.0,6,2.0
HT_159->HT_050,2.0,2.0,24,2.0,2.0,4B,2.0
HT_159->HT_131,2.0,2.0,24,2.0,2.0,4B,2.0
HT_159->HT_146,2.0,2.0,24,2.0,2.0,4A,2.0
HT_160->HT_236,1.0,1.375,64,1.0,2.0,12,1.0
HT_161->HT_066,2.0,2.0,46,2.0,2.0,6,2.0
HT_162->HT_103,3.0,3.0,57,3.0,3.0,3A,2.0
HT_162->HT_205,4.0,4.0,69,4.0,4.0,2A,2.0
HT_163->HT_089,2.0,2.0,60,2.0,2.0,2B,2.0
HT_164->HT_083,2.0,2.230769230769231,26,2.0,3.0,13,2.0
HT_165->HT_198,2.0,1.6666666666666667,42,1.0,2.0,12,1.0
HT_166->HT_136,1.0,1.0,56,1.0,1.0,12,1.0
HT_166->HT_255,1.0,1.0,30,1.0,1.0,14,1.0
HT_167->HT_211,3.0,3.0,117,3.0,3.0,2A,2.0
HT_168->HT_024,1.0,1.2580645161290323,93,1.0,2.0,2A,2.0
HT_168->HT_065,3.0,3.0,85,3.0,3.0,1A,2.0
HT_168->HT_077,3.0,3.0,31,3.0,3.0,5B,3.0
HT_169->HT_272,2.0,2.0,83,2.0,2.0,1B,2.0
HT_170->HT_045,2.0,2.0,69,2.0,2.0,2A,2.0
HT_171->HT_232,2.0,2.0,66,2.0,2.0,3B,2.0
HT_172->HT_223,1.0,1.2142857142857142,28,1.0,2.0,14,1.0
HT_174->HT_194,1.0,1.0,60,1.0,1.0,2B,2.0
HT_174->HT_266,2.0,1.880952380952381,42,1.0,3.0,12,1.0
HT_175->HT_106,2.0,2.217821782178218,101,2.0,3.0,12,1.0
HT_175->HT_244,1.0,1.0,19,1.0,1.0,5A,2.5
HT_176->HT_182,1.0,1.2,60,1.0,2.0,12,1.0
HT_176->HT_216,1.0,1.0,30,1.0,1.0,14,1.0
HT_177->HT_036,1.0,1.1016949152542372,59,1.0,2.0,12,1.0
HT_177->HT_217,3.0,3.2,60,3.0,4.0,12,1.0
HT_178->HT_072,2.0,2.0,24,2.0,2.0,11,3.0
HT_178->HT_188,4.0,4.0,24,4.0,4.0,11,3.0
HT_179->HT_086,1.0,1.0,21,1.0,1.0,13,2.0
HT_179->HT_149,1.0,1.3076923076923077,26,1.0,2.0,13,2.0
HT_180->HT_078,1.0,1.1333333333333333,30,1.0,2.0,14,1.0
HT_181->HT_199,1.0,1.0,56,1.0,1.0,12,1.0
HT_182->HT_080,2.0,2.1333333333333333,60,1.0,3.0,12,1.0
HT_182->HT_176,1.0,1.0,30,1.0,1.0,14,1.0
HT_183->HT_013,2.0,2.0,60,2.0,2.0,2B,2.0
HT_183->HT_061,2.0,2.0,85,2.0,2.0,1A,2.0
HT_183->HT_064,2.0,2.0,117,2.0,2.0,2A,2.0
HT_183->HT_122,6.0,6.0,48,6.0,6.0,1B,2.0
HT_183->HT_183,3.0,3.0,145,3.0,3.0,1A,2.0
HT_183->HT_189,1.0,1.0,24,1.0,1.0,4B,2.0
HT_183->HT_237,2.0,2.0,35,2.0,2.0,10,2.0
HT_183->HT_262,2.0,2.0,24,2.0,2.0,4A,2.0
HT_184->HT_121,2.0,1.8571428571428572,35,1.0,2.0,10,2.0
HT_185->HT_154,3.0,3.0,57,3.0,3.0,3A,2.0
HT_186->HT_195,4.0,3.92,25,3.0,5.0,13,2.0
HT_187->HT_224,1.0,1.0366666666666664,30,1.0,1.3024999999999969,14,1.0
HT_187->HT_252,2.0,2.0,60,2.0,2.0,12,1.0
HT_188->HT_240,3.0,3.0,96,3.0,3.0,8,2.0
HT_189->HT_002,2.0,2.0,24,2.0,2.0,4B,2.0
HT_189->HT_104,2.0,2.0,46,2.0,2.0,6,2.0
HT_189->HT_141,2.0,2.0,46,2.0,2.0,6,2.0
HT_190->HT_180,1.0,1.0,30,1.0,1.0,14,1.0
HT_191->HT_183,1.0,1.4067796610169492,59,1.0,2.0,10,2.0
HT_192->HT_077,3.0,3.0,60,3.0,3.0,2B,2.0
HT_192->HT_110,2.0,2.4857142857142858,35,2.0,3.0,10,2.0
HT_193->HT_120,2.0,1.6571428571428573,35,1.0,2.0,10,2.0
HT_194->HT_024,2.0,2.0,141,2.0,2.0,2B,2.0
HT_194->HT_054,3.0,3.0,89,3.0,3.0,2B,2.0
HT_194->HT_093,1.0,1.4102564102564104,117,1.0,2.0,2A,2.0
HT_194->HT_194,1.0,1.0,24,1.0,1.0,11,3.0
HT_194->HT_200,3.0,3.0,31,3.0,3.0,5B,3.0
HT_194->HT_209,3.0,3.0,113,3.0,3.0,2B,2.0
HT_194->HT_219,6.0,5.775700934579439,107,5.0,6.0,1B,2.0
HT_194->HT_266,2.0,2.0,59,2.0,2.0,3B,2.0
HT_195->HT_118,5.0,5.12,25,4.0,6.0,13,2.0
HT_196->HT_054,4.0,4.0,22,4.0,4.0,L-1,2.0
HT_197->HT_082,3.0,3.0,73,3.0,3.0,15,2.0
