rank,origin_stop_id,origin_stop_name,depart_hhmm,day_name,poi_id,name,type,rating,vote_count,lat,lon,nearest_stop_id,nearest_stop_name,walk_dist_m,walk_time_min,path_type,route_path_dirs,route_path_labels,route_path_text,transfer_stop_ids,transfer_stop_names,transfer_stop_names_text,transfers,board_wait_total_min,transfer_extra_min,in_vehicle_min,transit_eta_min,eta_total_min,arrival_hhmm,open_hhmm,close_hhmm,open_days,hours_source_type,needs_review,is_open_on_day,is_open_on_arrival,can_visit_min_stay,visit_margin_min,score_eta,score_walk,score_transfers,score_operating_margin,score_rating,score_popularity,recommendation_score,recommendation_reason,scenario_id,preferred_types_text
11,HT_110,Malioboro 1,09:00,Sabtu,99,Sokkel klok voor Eeuw Nederlandsch-Indische,Lainnya,5.0,2.0,-7.7995673,110.3649177,HT_112,Malioboro 3,38.03754362272986,0.4754692952841232,direct,['10_0'],['10'],10,[],[],,0,7.5,0.0,4.0,11.5,11.975469295284123,09:12,08:00,17:00,Setiap hari,wisata_jogja_csv,0,1,1,1,468.02453070471586,0.8838814901528556,0.9891421776363821,1.0,0.4273928257228826,1.0,0.038660556735815144,0.8018592674898548,"ETA total 12.0 menit, tanpa transit, jalan kaki akhir 38 m dari Malioboro 3, tiba 09:12, buka 08:00–17:00, naik 10.",malioboro_umum_sabtu_0900,semua kategori
12,HT_110,Malioboro 1,09:00,Sabtu,357,Plengkung Wijilan,Lainnya,4.6,261.0,-7.8038148,110.3666102,HT_213,Senopati,261.5637041030581,3.2695463012882264,direct,['1A_0'],['1A'],1A,[],[],,0,7.5,0.0,6.0,13.5,16.769546301288226,09:17,08:00,17:00,Setiap hari,wisata_jogja_csv,0,1,1,1,463.2304536987118,0.828712979403523,0.7752242439625713,1.0,0.41649842042480995,0.8999999999999999,0.4648435560616295,0.7999864114293097,"ETA total 16.8 menit, tanpa transit, jalan kaki akhir 262 m dari Senopati, tiba 09:17, buka 08:00–17:00, naik 1A.",malioboro_umum_sabtu_0900,semua kategori
1,HT_110,Malioboro 1,09:00,Sabtu,315,Malioboro,"Buatan, Budaya dan Sejarah",4.7,3752.0,-7.7982487,110.3652793,HT_112,Malioboro 3,186.212970144772,2.32766212680965,direct,['10_0'],['10'],10,[],[],,0,7.5,0.0,4.0,11.5,13.82766212680965,09:14,00:00,23:59,24 jam,wisata_jogja_csv,0,1,1,1,885.1723378731904,0.9928781722982539,0.8153977859256021,1.0,1.0,0.5999999999999996,0.6373528102278866,0.9024545580009035,"ETA total 13.8 menit, tanpa transit, jalan kaki akhir 186 m dari Malioboro 3, tiba 09:14, buka 00:00–23:59, naik 10.",malioboro_budaya_sabtu_0900,"Budaya dan Sejarah, Museum"
2,HT_110,Malioboro 1,09:00,Sabtu,13,Museum Benteng Vredeburg,Budaya dan Sejarah,4.6,15279.0,-7.799287456,110.3661757,HT_112,Malioboro 3,146.5346532221909,1.8316831652773864,direct,['10_0'],['10'],10,[],[],,0,7.5,0.0,4.0,11.5,13.331683165277386,09:13,08:00,20:00,Selasa–Minggu,wisata_jogja_csv,0,1,1,1,646.6683168347226,1.0,0.8621175177021785,1.0,0.8333558103902291,0.3999999999999986,0.8099083486171189,0.8862545020103143,"ETA total 13.3 menit, tanpa transit, jalan kaki akhir 147 m dari Malioboro 3, tiba 09:13, buka 08:00–20:00, naik 10.",malioboro_budaya_sabtu_0900,"Budaya dan Sejarah, Museum"
3,HT_110,Malioboro 1,09:00,Sabtu,12,Masjid Gedhe Kauman,Budaya dan Sejarah,4.8,9784.0,-7.802697521,110.3625956,HT_075,KHA Dahlan - A,313.703245147686,3.921290564346075,direct,['10_0'],['10'],10,[],[],,0,7.5,0.0,6.0,13.5,17.421290564346076,09:17,00:00,23:59,24 jam,wisata_jogja_csv,0,1,1,1,881.5787094356539,0.9412767848580239,0.6652827630560624,1.0,1.0,0.7999999999999989,0.7551308644295357,0.8802599705329976,"ETA total 17.4 menit, tanpa transit, jalan kaki akhir 314 m dari KHA Dahlan - A, tiba 09:17, buka 00:00–23:59, naik 10.",malioboro_budaya_sabtu_0900,"Budaya dan Sejarah, Museum"
4,HT_110,Malioboro 1,09:00,Sabtu,46,Jogja National Museum,"Museum, Budaya dan Sejarah",4.6,5041.0,-7.8001175,110.3534164,HT_147,Pasar Serangan - A,142.6935420729868,1.783669275912335,direct,['13_0'],['13'],13,[],[],,0,7.5,0.0,12.0,19.5,21.283669275912334,09:21,08:00,20:00,Selasa–Minggu,wisata_jogja_csv,0,1,1,1,638.7163307240877,0.8858163765824655,0.8666402821875013,1.0,0.8152851453789237,0.3999999999999986,0.6736398101480673,0.8385742932866588,"ETA total 21.3 menit, tanpa transit, jalan kaki akhir 143 m dari Pasar Serangan - A, tiba 09:21, buka 08:00–20:00, naik 13.",malioboro_budaya_sabtu_0900,"Budaya dan Sejarah, Museum"
5,HT_110,Malioboro 1,09:00,Sabtu,41,Museum Sonobudoyo Unit I,"Budaya dan Sejarah, Museum",4.6,1711.0,-7.8024499,110.3639555,HT_112,Malioboro 3,305.9128385801936,3.82391048225242,direct,['10_0'],['10'],10,[],[],,0,7.5,0.0,4.0,11.5,15.323910482252419,09:15,08:00,15:30,Selasa–Minggu,wisata_jogja_csv,0,1,1,1,374.6760895177475,0.9713933436805967,0.6744556749508355,1.0,0.21526111591503425,0.3999999999999986,0.540886491332915,0.7634492414365248,"ETA total 15.3 menit, tanpa transit, jalan kaki akhir 306 m dari Malioboro 3, tiba 09:15, buka 08:00–15:30, naik 10.",malioboro_budaya_sabtu_0900,"Budaya dan Sejarah, Museum"
6,HT_110,Malioboro 1,09:00,Sabtu,59,Museum Kereta Karaton,Budaya dan Sejarah,4.7,735.0,-7.8054476,110.3627375,HT_075,KHA Dahlan - A,544.9564181019726,6.811955226274658,direct,['10_0'],['10'],10,[],[],,0,7.5,0.0,6.0,13.5,20.31195522627466,09:20,08:00,16:00,Selasa–Minggu,wisata_jogja_csv,0,1,1,1,399.6880447737253,0.8997693475220107,0.39299081493772214,1.0,0.27210008147912845,0.5999999999999996,0.4371326937512891,0.7025840774557254,"ETA total 20.3 menit, tanpa transit, jalan kaki akhir 545 m dari KHA Dahlan - A, tiba 09:20, buka 08:00–16:00, naik 10.",malioboro_budaya_sabtu_0900,"Budaya dan Sejarah, Museum"
7,HT_110,Malioboro 1,09:00,Sabtu,346,The Palace of Yogyakarta (Keraton Yogyakarta),Budaya dan Sejarah,4.6,30091.0,-7.8052845,110.3642031,HT_213,Senopati,523.9556072119696,6.54944509014962,direct,['1A_0'],['1A'],1A,[],[],,0,7.5,0.0,6.0,13.5,20.049445090149618,09:20,08:00,14:00,Selasa–Minggu,wisata_jogja_csv,0,1,1,1,279.9505549098503,0.9035387653893909,0.4177184830438553,1.0,0.0,0.3999999999999986,0.8932020075301996,0.6844423648715677,"ETA total 20.0 menit, tanpa transit, jalan kaki akhir 524 m dari Senopati, tiba 09:20, buka 08:00–14:00, naik 1A.",malioboro_budaya_sabtu_0900,"Budaya dan Sejarah, Museum"
8,HT_110,Malioboro 1,09:00,Sabtu,10,Candi Prambanan,Budaya dan Sejarah,4.7,71751.0,-7.751834561,110.4915318,HT_250,Terminal Prambanan,465.33912052421863,5.816739006552733,one_transfer,"['L-1_0', '1A_0']","['L-1', '1A']",L-1 > 1A,['HT_016'],['Bhayangkara'],Bhayangkara,1,15.0,5.0,12.0,32.0,37.81673900655273,09:38,06:30,17:00,Setiap hari,wisata_jogja_csv,0,1,1,1,442.1832609934472,0.6484158351586646,0.4867372002712099,0.8,0.36866926636019615,0.5999999999999996,1.0,0.6311599089957942,"ETA total 37.8 menit, 1 transit via Bhayangkara, jalan kaki akhir 465 m dari Terminal Prambanan, tiba 09:38, buka 06:30–17:00, naik L-1 -> 1A.",malioboro_budaya_sabtu_0900,"Budaya dan Sejarah, Museum"
