kml_stop_name,lat,lon,route_refs,description_preview
Kantor Pos Demak Ijo - A,-7.778029,110.335961,8|13,8 _ Trans Jogja Tujuan / Destination => SDN 1 Demak Ijo - A 13 _ Trans Jogja Tujuan / Destination => SDN 1 Demak Ijo - A
Kantor Pos Demak Ijo - B,-7.778083,110.33598,8|13,8 _ Trans Jogja Tujuan / Destination => Metro Nogotirto - B 13 _ Trans Jogja Tujuan / Destination => Metro Nogotirto - B
Kanwil DJPb,-7.783304,110.423985,1A|1B|3A|5B,1A _ Trans Jogja Tujuan / Destination => Maguwo Sambilegi 1B _ Trans Jogja Tujuan / Destination => Maguwo Sambilegi 3A _ Trans Jogja Tujuan / Destination => Maguwo Sambilegi 5B _ Trans Jogja Tujuan / 
Karangjati - A,-7.764031,110.369243,2A,2A _ Trans Jogja Tujuan / Destination => Batas Kota Jll. Monjali - A
Karangjati - B,-7.764451,110.369153,2B,2B _ Trans Jogja Tujuan / Destination => SPBU Monjali - B
Karangwaru - A,-7.772261,110.361327,5A|9|L-1,5A _ Trans Jogja Tujuan / Destination => Borobudur Plaza 9 _ Trans Jogja Tujuan / Destination => Jogja City Mall - A L-1 _ Trans Jogja Tujuan / Destination => Jogja City Mall - A
Karangwaru - B,-7.771269,110.361309,5B|9|L-1,5B _ Trans Jogja Tujuan / Destination => TVRI- B 9 _ Trans Jogja Tujuan / Destination => TVRI- B L-1 _ Trans Jogja Tujuan / Destination => TVRI- B
Katamso,-7.802722,110.369215,2B,2B _ Trans Jogja Tujuan / Destination => Senopati - B
Kehutanan - A,-7.81957,110.401208,2A|3A,2A _ Trans Jogja Tujuan / Destination => Pilar 3A _ Trans Jogja Tujuan / Destination => Pilar
Kehutanan - B,-7.818107,110.401806,2B|3B,2B _ Trans Jogja Tujuan / Destination => SMPN 9 - B 3B _ Trans Jogja Tujuan / Destination => Pegadaian
Kentungan,-7.756098,110.384626,2B|3B|5B,2B _ Trans Jogja Tujuan / Destination => Terminal Condongcatur 3B _ Trans Jogja Tujuan / Destination => Terminal Condongcatur 5B _ Trans Jogja Tujuan / Destination => Terminal Condongcatur
KHA Dahlan - A,-7.801281,110.360133,2B|3A|6|8|10|13|15,2B _ Trans Jogja Tujuan / Destination => Ngabean 3A _ Trans Jogja Tujuan / Destination => Ngabean 6 _ Trans Jogja Tujuan / Destination => Ngabean 8 _ Trans Jogja Tujuan / Destination => Ngabean 10 _ T
KHA Dahlan - B,-7.801235,110.360624,1B|3B|6|8|10|15|EV2,1B _ Trans Jogja Tujuan / Destination => Taman Pintar 3B _ Trans Jogja Tujuan / Destination => Bhayangkara 6 _ Trans Jogja Tujuan / Destination => Taman Pintar 8 _ Trans Jogja Tujuan / Destination => 
KKP Yogyakarta,-7.782053,110.429895,3A|14,3A_ Trans Jogja Tujuan / Destination => Disnakertrans - A 14 _ Trans Jogja Tujuan / Destination => Disnakertrans - A
Kledokan,-7.778325,110.408542,1B,1B _ Trans Jogja Tujuan / Destination => Pasar Angkasa
Kompi Senapan-C,-7.777442,110.332936,8|13,8 _ Trans Jogja Tujuan / Destination => Demak Ijo - B 13 _ Trans Jogja Tujuan / Destination => Toko Saerah - B
