kml_stop_name,lat,lon,route_refs,description_preview
PDAM Monjali - A,-7.75602,110.369905,2A|5B,2A _ Trans Jogja Tujuan / Destination => SPBU Monjali - A 5B _ Trans Jogja Tujuan / Destination => SPBU Monjali - A
PDAM Monjali - B,-7.755727,110.369861,2B|5A,2B _ Trans Jogja Tujuan / Destination => Monjali - B 5A _ Trans Jogja Tujuan / Destination => Monjali - B
PDIN,-7.782019,110.372528,4B,4B _ Trans Jogja Tujuan / Destination => Bulog
Pegadaian,-7.822774,110.400174,3B,3B _ Trans Jogja Tujuan / Destination => Lap. Karang - B
Pelem Gurih - A,-7.799896,110.330616,10,10 _ Trans Jogja Tujuan / Destination => Bayeman - A
Pelem Gurih - B,-7.799983,110.330738,10,10 _ Trans Jogja Tujuan / Destination => Pasar Gamping - B
Perintis Kemerdekaan - A,-7.818329,110.392283,2A,2A _ Trans Jogja Tujuan / Destination => Diklat PU
Perintis Kemerdekaan - B,-7.818311,110.391932,2B,2B _ Trans Jogja Tujuan / Destination => Gambiran - B
Perumahan Nogotirto,-7.763689,110.336155,8,8 _ Trans Jogja Tujuan / Destination => Demak Ijo - A
Pilar,-7.813484,110.402084,2A|3A,2A _ Trans Jogja Tujuan / Destination => Banguntapan - A 3A _ Trans Jogja Tujuan / Destination => Banguntapan - A
PKU Gamping,-7.80188,110.31679,6|10,6 _ Trans Jogja Tujuan / Destination => Pasar Gamping - A 10 _ Trans Jogja Tujuan / Destination => Pasar Gamping - A
Plaza UNY,-7.775144,110.38914,2A|12,2A _ Trans Jogja Tujuan / Destination => Santren 12 _ Trans Jogja Tujuan / Destination => Santren
Plengkung Gading - A,-7.814171,110.363901,3A|9,3A _ Trans Jogja Tujuan / Destination => Pujokusuman 9 _ Trans Jogja Tujuan / Destination => Hotel Noola
Plengkung Gading - B,-7.814256,110.364307,3B|9,3B _ Trans Jogja Tujuan / Destination => SMAN 7 9 _ Trans Jogja Tujuan / Destination => SMAN 7
Polres Bantul,-7.889805,110.326512,15,15 _ Trans Jogja Tujuan / Destination => Simpang Gose - B
Polsek Depok Timur - A,-7.762567,110.415507,3A,3A _ Trans Jogja Tujuan / Destination => UPN Veteran
Polsek Depok Timur - B,-7.762394,110.415258,3B,3B _ Trans Jogja Tujuan / Destination => Instiper - B
Polsek Godean - A,-7.771561,110.30907,13,13 _ Trans Jogja Tujuan / Destination => Neutron Godean - A
Polsek Godean - B,-7.771609,110.309006,13,13 _ Trans Jogja Tujuan / Destination => Koramil Godean - B
Poltekkes BSI,-7.814373,110.402114,2B|3B,2B _ Trans Jogja Tujuan / Destination => Kehutanan - B 3B _ Trans Jogja Tujuan / Destination => Kehutanan - B
Pramuka,-7.818518,110.387374,4A|4B,4A _ Trans Jogja Tujuan / Destination => Pasar Sepeda 4B _ Trans Jogja Tujuan / Destination => Pandeyan
Prayan - A,-7.763473,110.393585,2A|12,2A _ Trans Jogja Tujuan / Destination => SPBU Concat - A 12 _ Trans Jogja Tujuan / Destination => SPBU Concat - A
Prayan - B,-7.763576,110.393637,2B|12,2B _ Trans Jogja Tujuan / Destination => Susteran Novisiat 12 _ Trans Jogja Tujuan / Destination => Susteran Novisiat
Progo,-7.798033,110.369306,1A|1B|6|10|15,1A _ Trans Jogja Tujuan / Destination => Jl. Mataram 1B _ Trans Jogja Tujuan / Destination => Jl. Mataram 6 _ Trans Jogja Tujuan / Destination => Jl. Mataram 10 _ Trans Jogja Tujuan / Destination => J
Pujokusuman,-7.814821,110.37006,2A|3A,2A _ Trans Jogja Tujuan / Destination => STIE Kerjasama 3A _ Trans Jogja Tujuan / Destination => Lowanu - A
Purawisata - A,-7.80877,110.369129,2A,2A _ Trans Jogja Tujuan / Destination => SDN Kintelan 1
Purawisata - B,-7.808122,110.3691,2B,2B _ Trans Jogja Tujuan / Destination => Katamso
Pusat Kuliner Belut Godean,-7.767618,110.293516,13,13 _ Trans Jogja ! -- BERANGKAT / DEPARTURE -- ! Tujuan / Destination => Kantor Kap. Godean - A
Puskesmas Ngaglik - A,-7.721894,110.402556,12,12 _ Trans Jogja Tujuan / Destination => SMPN 2 Ngaglik - A
Puskesmas Ngaglik - B,-7.722028,110.402523,12,12 _ Trans Jogja Tujuan / Destination => TK BIAS
Puskesmas Ngemplak - A,-7.702928,110.444678,14,14 _Trans Jogja Tujuan / Destination => Tugu Batas Desa Yapah - A
Puskesmas Ngemplak - B,-7.702951,110.444545,14,14 _Trans Jogja Tujuan / Destination => Pasar Jangkang - B
Raminten - A,-7.675976,110.417261,12|14,12 _ Trans Jogja Tujuan / Destination => Dusun Kledokan - A 14 _ Trans Jogja Tujuan / Destination => Dusun Kledokan - A
Raminten - B,-7.67615,110.417309,12|14,12 _ Trans Jogja Tujuan / Destination => Simpang Degolan - B 14 _ Trans Jogja Tujuan / Destination => Simpang Degolan - B
RRI Gejayan,-7.779508,110.388322,4B,4B _ Trans Jogja Tujuan / Destination => Plaza UNY
RS Bethesda,-7.783037,110.378017,1A|2A|4A|5B,1A _ Trans Jogja Tujuan / Destination => Jend. Sudirman - A 2A _ Trans Jogja Tujuan / Destination => Dr. Yap 4A _ Trans Jogja Tujuan / Destination => Dr. Yap 5B _ Trans Jogja Tujuan / Destination => B
RS Bhayangkara - A,-7.767202,110.47151,1A,1A _ Trans Jogja Tujuan / Destination => Pasar Kalasan - A
RS Bhayangkara - B,-7.766719,110.471743,1A,1A _ Trans Jogja Tujuan / Destination => Edotel Kalasan - B
RS Hardjolukito,-7.797367,110.41002,1B|3B,1B _ Trans Jogja Tujuan / Destination => Wonocatur 3B _ Trans Jogja Tujuan / Destination => Wonocatur
RS Hidayatullah,-7.815604,110.387793,2A,2A _ Trans Jogja Tujuan / Destination => Gambiran - A
RS JIH,-7.758875,110.403075,3B|5B,3B _ Trans Jogja Tujuan / Destination => Stikes Guna Bangsa 5B _ Trans Jogja Tujuan / Destination => Stikes Guna Bangsa
RS Kemasan - A,-7.713281,110.448042,14,14 _Trans Jogja Tujuan / Destination => Simpang Kenti - A
RS Kemasan - B,-7.713733,110.447797,14,14 _Trans Jogja Tujuan / Destination => Jl. Raya Kabunan - B
RS Panti Nugroho,-7.669267,110.417594,12|14,12 _ Trans Jogja Tujuan / Destination => Terminal Pakem 14 _ Trans Jogja Tujuan / Destination => Terminal Pakem
RS Panti Rapih,-7.776251,110.37822,2B|4A|12,2B _ Trans Jogja Tujuan / Destination => SMPN 1 - B 4A _ Trans Jogja Tujuan / Destination => SMPN 1 - B 12 _ Trans Jogja Tujuan / Destination => Vokasi UGM
RS Sardjito - A,-7.767817,110.374276,3A|4B|5B|12,3A _ Trans Jogja Tujuan / Destination => FKG UGM - A 4B _ Trans Jogja Tujuan / Destination => FKG UGM - A 5B_ Trans Jogja Tujuan / Destination => FKG UGM - A 12 _ Trans Jogja Tujuan / Destination => F
RS Sardjito - B,-7.767811,110.374213,3B|4A|5A|12,3B _ Trans Jogja Tujuan / Destination => MM UGM 4A _ Trans Jogja Tujuan / Destination => MM UGM 5A _ Trans Jogja Tujuan / Destination => Teknik UGM - A 12 _ Trans Jogja Tujuan / Destination => MM UGM
RSU Gramedika - A,-7.70113,110.416987,14,14 _Trans Jogja Tujuan / Destination => Simpang Besi Jakal - A
RSU Gramedika - B,-7.701092,110.416992,14,14 _Trans Jogja Tujuan / Destination => SDN Selomulyo - B
Ruba Graha - A,-7.820883,110.361994,11,11 _ Trans Jogja Tujuan / Destination => Suryodiningratan - A
Ruba Graha - B,-7.82089,110.362233,11,11 _ Trans Jogja Tujuan / Destination => Jogokariyan - B
Sahid J-Walk,-7.779567,110.414697,1B|5A,1B _ Trans Jogja Tujuan / Destination => Dishub DIY - A 5A _ Trans Jogja Tujuan / Destination => Dishub DIY - A
Samirono,-7.777646,110.387512,2B|12,2B _ Trans Jogja Tujuan / Destination => Kosudgama - B 12 _ Trans Jogja Tujuan / Destination => Kosudgama - B
Samsat,-7.787165,110.359764,9|11,9 _ Trans Jogja Tujuan / Destination => Saudagaran 11 _ Trans Jogja Tujuan / Destination => Saudagaran
Sanata Dharma,-7.775083,110.389249,2B|12,2B _ Trans Jogja Tujuan / Destination => Samirono 4A - Trans Jogja Tujuan / Destination => Pasar Demangan 12 _ Trans Jogja Tujuan / Destination => Samirono
Santren,-7.766374,110.391976,2A|12,2A _ Trans Jogja Tujuan / Destination => Prayan - A 12 _ Trans Jogja Tujuan / Destination => Prayan - A
Saudagaran,-7.79251,110.353561,9|11,9 _ Trans Jogja Tujuan / Destination => SMAN 1 - B 11 _ Trans Jogja Tujuan / Destination => SMAN 1 - B
SD Unggulan Aisyiyah - A,-7.895077,110.324004,13,13 _ Trans Jogja Tujuan / Destination => Simpang Gose - A
SD Unggulan Aisyiyah - B,-7.895169,110.324034,13,13 _ Trans Jogja Tujuan / Destination => SMAN 1 Bantul - B
SDN 1 Demak Ijo - A,-7.778221,110.336809,8|13,8 _ Trans Jogja Tujuan / Destination => Pasar Tlogorejo - A 13 _ Trans Jogja Tujuan / Destination => Pasar Tlogorejo - A
SDN 1 Demak Ijo - B,-7.778267,110.336763,8|13,8 _ Trans Jogja Tujuan / Destination => Kantor Pos Demak Ijo - B 13 _ Trans Jogja Tujuan / Destination => Kantor Pos Demak Ijo - B
SDN 1 Depok -  A,-7.760761,110.43292,14,14 _Trans Jogja Tujuan / Destination => KUA Depok - A
SDN 1 Depok - B,-7.760914,110.432945,14,14 _Trans Jogja Tujuan / Destination => SMKN 1 Depok - Jl. Raya Tajem - B
SDN Gedong Tengen,-7.792655,110.356933,1B,1B _ Trans Jogja Tujuan / Destination => KS Tubun
SDN Kintelan 1,-7.812055,110.368901,2A,2A _ Trans Jogja Tujuan / Destination => Pujokusuman
SDN Percobaan 3 Pakem,-7.668404,110.417696,12|14,12 _ Trans Jogja Tujuan / Destination => SMPN 4 Pakem 14 _ Trans Jogja Tujuan / Destination => SMPN 4 Pakem
SDN Selomulyo - A,-7.702391,110.420716,14,14 _Trans Jogja Tujuan / Destination => RSU Gramedika - A
SDN Selomulyo - B,-7.702236,110.420449,14,14 _Trans Jogja Tujuan / Destination => Kantor Kal. Sukoharjo - B
Selokan Mataram Maguwo,-7.77096,110.431043,14,14 _ Trans Jogja Tujuan / Destination => Binamarga
Senopati,-7.801501,110.367038,2B,2B _ Trans Jogja Tujuan / Destination => KHA Dahlan - A
SGM Kusumanegara - A,-7.802084,110.393031,1B|2B|4B,1B _ Trans Jogja Tujuan / Destination => Gembira Loka - A 2B _ Trans Jogja Tujuan / Destination => Gembira Loka - A 4B _ Trans Jogja Tujuan / Destination => SMKN 5 - B
SGM Kusumanegara - B,-7.802162,110.393376,1B|2A|4A|10,1B _ Trans Jogja Tujuan / Destination => Makam Gajah - B 2A _ Trans Jogja Tujuan / Destination => Makam Gajah - B 4A _ Trans Jogja Tujuan / Destination => UTY Glagahsari - A 10 _ Trans Jogja Tujuan / 
Simpang Babadan - A,-7.723146,110.435469,14,14 _Trans Jogja Tujuan / Destination => Simpang Selomartani - A
Simpang Babadan - B,-7.723286,110.435436,14,14 _Trans Jogja Tujuan / Destination => Kantor Kal. Wedomartani - B
Simpang Bantulan - A,-7.774802,110.322299,13,13 _ Trans Jogja Tujuan / Destination => Kantor Kal. Sidoarum - A
Simpang Bantulan - B,-7.774601,110.321168,13,13 _ Trans Jogja Tujuan / Destination => Simpang Munggur - B
Simpang Besi Jakal - A,-7.70021,110.415388,12|14,12 _ Trans Jogja Tujuan / Destination => YAKKUM - A 14 _ Trans Jogja Tujuan / Destination => YAKKUM - A
Simpang Besi Jakal - B,-7.700218,110.415444,12|14,12 _ Trans Jogja Tujuan / Destination => Wedangan Kampoeng - B 14 _ Trans Jogja Tujuan / Destination => RSU Gramedika - B
Simpang Degolan - A,-7.684067,110.419171,12|14,12 _ Trans Jogja Tujuan / Destination => Raminten - A 14 _ Trans Jogja Tujuan / Destination => Raminten - A
Simpang Degolan - B,-7.684105,110.419206,12|14,12 _ Trans Jogja Tujuan / Destination => Boulevard UII 14 _ Trans Jogja Tujuan / Destination => Boulevard UII
Simpang Diklat DIY - A,-7.828797,110.332504,6,6 _ Trans Jogja Tujuan / Destination => Lapangan Kasihan - A
Simpang Diklat DIY - B,-7.828555,110.33163,6,6 _ Trans Jogja Tujuan / Destination => Madukismo - B
Simpang Gesikan - A,-7.773567,110.316446,13,13 _ Trans Jogja Tujuan / Destination => Simpang Munggur - A
Simpang Gesikan - B,-7.773664,110.31656,13,13 _ Trans Jogja Tujuan / Destination => Indomaret Klajuran - B
Simpang Gose - A,-7.891818,110.325388,15,15 _ Trans Jogja Tujuan / Destination => Tugu Adipura
Simpang Gose - B,-7.891926,110.325444,15,15 _ Trans Jogja Tujuan / Destination => SD Unggulan Aisyiyah - B
Simpang Kabunan - A,-7.71859,110.438559,14,14 _Trans Jogja Tujuan / Destination => Jl. Raya Kabunan - A
Simpang Kabunan - B,-7.719497,110.438232,14,14 _Trans Jogja Tujuan / Destination => Simpang Selomartani - B
Simpang Kasongan - A,-7.846332,110.344539,15,15 _ Trans Jogja Tujuan / Destination => Pasar Niten - A
Simpang Kasongan - B,-7.848624,110.343478,15,15 _ Trans Jogja Tujuan / Destination => Kantor Kesbangpol - B
Simpang Kenti - A,-7.703531,110.448079,14,14 _Trans Jogja Tujuan / Destination => Pasar Jangkang - A
Simpang Kenti - B,-7.703513,110.448106,14,14 _Trans Jogja Tujuan / Destination => RS Kemasan - B
Simpang Losari - A,-7.704851,110.433006,14,14 _Trans Jogja Tujuan / Destination => SPBU Mindi - A
Simpang Losari - B,-7.704804,110.433145,14,14 _Trans Jogja Tujuan / Destination => SMAN 2 Ngaglik - B
Simpang Mandungan (Iwak Kalen) - A,-7.770049,110.303015,13,13 _ Trans Jogja Tujuan / Destination => Koramil Godean - A
Simpang Mandungan (Iwak Kalen) - B,-7.770103,110.303,13,13 _ Trans Jogja Tujuan / Destination => Kantor Kap. Godean - B
Simpang Munggur - A,-7.77394,110.318355,13,13 _ Trans Jogja Tujuan / Destination => Simpang Bantulan - A
Simpang Munggur - B,-7.77398,110.318287,13,13 _ Trans Jogja Tujuan / Destination => Simpang Gesikan - B
Simpang Palem Raya - A,-7.730553,110.397561,12,12 _Trans Jogja Tujuan / Destination => Kantor Kap. Ngaglik
Simpang Palem Raya - B,-7.730433,110.397675,12,12 _ Trans Jogja Tujuan / Destination => Gardu PLN - B
Simpang Selomartani - A,-7.722328,110.438107,14,14 _Trans Jogja Tujuan / Destination => Simpang Kabunan - A
Simpang Selomartani - B,-7.722393,110.437974,14,14 _Trans Jogja Tujuan / Destination => Simpang Babadan - B
Simpang Wojo,-7.836372,110.373776,9,9 _ Trans Jogja Tujuan / Destination => Druwo - A
SMA Muh 3,-7.80673,110.350539,10,10 _ Trans Jogja Tujuan / Destination => Hotel Andika Putera
SMA N 5,-7.822557,110.399158,3A,3A _ Trans Jogja Tujuan / Destination => Kehutanan - A
SMAN 1 - A,-7.799353,110.352117,2B|9|11|13,2B _ Trans Jogja Tujuan / Destination => SMPN 11 9 _ Trans Jogja Tujuan / Destination => SMPN 11 11 _ Trans Jogja Tujuan / Destination => SMPN 11 13 _ Trans Jogja Tujuan / Destination => SMPN 11
SMAN 1 - B,-7.799113,110.352228,9|11,9 _ Trans Jogja Tujuan / Destination => Ngabean 11 _ Trans Jogja Tujuan / Destination => Ngabean
SMAN 1 Bantul - A,-7.897381,110.323024,15,15 _ Trans Jogja Tujuan / Destination => SD Unggulan Aisyiyah - A
SMAN 1 Bantul - B,-7.898173,110.32274,15,15 _ Trans Jogja Tujuan / Destination => Terminal Palbapang
SMAN 1 Kasihan - A,-7.818354,110.348232,6,6 _ Trans Jogja Tujuan / Destination => Madukismo - A
SMAN 1 Kasihan - B,-7.81833,110.348209,6,6 _ Trans Jogja Tujuan / Destination => SMK Seni - B
SMAN 2 Ngaglik - A,-7.704858,110.43501,14,14 _Trans Jogja Tujuan / Destination => Simpang Losari - A
SMAN 2 Ngaglik - B,-7.704814,110.43499,14,14 _Trans Jogja Tujuan / Destination => Timur Jembatan Yapah - B
SMAN 7,-7.813417,110.358131,3B|9|11,3B _ Trans Jogja Tujuan / Destination => Tejokusuman 9 _ Trans Jogja Tujuan / Destination => Tejokusuman 11 _ Trans Jogja Tujuan / Destination => Tejokusuman
SMK Muh 3,-7.822556,110.389664,4A|4B,4A _ Trans Jogja Tujuan / Destination => Pramuka 4B _ Trans Jogja Tujuan / Destination => Pramuka
SMK Seni - A,-7.814457,110.34899,6,6 _ Trans Jogja Tujuan / Destination => SMAN 1 Kasihan - A
SMK Seni - B,-7.815335,110.348779,6,6 _ Trans Jogja Tujuan / Destination => Pasar Legi - B
SMKN 1 Depok - Jl. Raya Tajem - A,-7.765242,110.431485,14,14 _Trans Jogja Tujuan / Destination => SDN 1 Depok - A
SMKN 1 Depok - Jl. Raya Tajem - B,-7.765254,110.431556,14,14 _Trans Jogja Tujuan / Destination => Disnakertrans - B
SMKN 1 Depok - Ring Road Utara,-7.766483,110.431103,3B,3B _ Trans Jogja Tujuan / Destination => Binamarga
SMKN 3,-7.777979,110.366828,2B|5A,2B _ Trans Jogja Tujuan / Destination => AM Sangaji - B 5A _ Trans Jogja Tujuan / Destination => Fisipol UGM - A
SMKN 5 - A,-7.800357,110.395063,4A|10,4A _ Trans Jogja Tujuan / Destination => SGM Kusumanegara - B 10 _ Trans Jogja Tujuan / Destination => SGM Kusumanegara - B
SMKN 5 - B,-7.800243,110.39451,4B,4B _ Trans Jogja Tujuan / Destination => Timoho - B
SMP Kanisius Gayam - A,-7.795822,110.377749,2A,2A _ Trans Jogja Tujuan / Destination => Eks Bioskop Mataram
SMP Kanisius Gayam - B,-7.795697,110.377784,2B|10,2B _ Trans Jogja Tujuan / Destination => Mandala Krida - B 10 _ Trans Jogja Tujuan / Destination => Jl. Mataram
SMP Muh 3,-7.802916,110.351402,10,10 _ Trans Jogja Tujuan / Destination => GKJ Wirobrajan
SMPN 1 - A,-7.777468,110.375811,2A|3B|4A|5B|11,2A _ Trans Jogja Tujuan / Destination => Kosudgama 3B _ Trans Jogja Tujuan / Destination => Vokasi UGM 4A _ Trans Jogja Tujuan / Destination => Vokasi UGM 5B _ Trans Jogja Tujuan / Destination => Fisi
SMPN 1 - B,-7.777807,110.37585,2B|3A|4A|5A|11,2B _ Trans Jogja Tujuan / Destination => Cik Di Tiro 3A _ Trans Jogja Tujuan / Destination => Cik Di Tiro 4A _ Trans Jogja Tujuan / Destination => Cik Di Tiro 5A _ Trans Jogja Tujuan / Destination => 
SMPN 11,-7.792973,110.353401,2B|9|11|13,2B _ Trans Jogja Tujuan / Destination => Badran 9 _ Trans Jogja Tujuan / Destination => Badran 11 _ Trans Jogja Tujuan / Destination => Badran 13 _ Trans Jogja Tujuan / Destination => Mirota Godean - 
SMPN 14,-7.786576,110.359987,2B|3B|8|9|11|L-1,2B _ Trans Jogja Tujuan / Destination => Hotel Utara - B 3B _ Trans Jogja Tujuan / Destination => Pasar Kranggan Selatan 8 _ Trans Jogja Tujuan / Destination => Pasar Pingit - B 9 _ Trans Jogja Tujuan
SMPN 2 Bantul - A,-7.874332,110.335823,15,15 _ Trans Jogja Tujuan / Destination => Kantor Kal. Pendowoharjo - A
SMPN 2 Bantul - B,-7.874908,110.335743,15,15 _ Trans Jogja Tujuan / Destination => Kantor Kap. Bantul
SMPN 2 Ngaglik - A,-7.715823,110.40604,12,12 _ Trans Jogja Tujuan / Destination => SPBU Kaliurang - A
SMPN 2 Ngaglik - B,-7.715972,110.406006,12,12 _ Trans Jogja Tujuan / Destination => Puskesmas Ngaglik - B
SMPN 4 Pakem,-7.669215,110.417642,12|14,12 _ Trans Jogja Tujuan / Destination => Dusun Kledokan - B 14 _ Trans Jogja Tujuan / Destination => Dusun Kledokan - B
SMPN 6,-7.778079,110.366993,5B,5B _ Trans Jogja Tujuan / Destination => Karangwaru - B
SMPN 9 - A,-7.819796,110.398023,2A,2A _ Trans Jogja Tujuan / Destination => Kehutanan - A
SMPN 9 - B,-7.819851,110.398031,2B,2B _ Trans Jogja Tujuan / Destination => Basen
Sosrowijayan,-7.79207,110.361618,3B|8|L-1,3B _ Trans Jogja Tujuan / Destination => Stasiun Yogyakarta 8 _ Trans Jogja Tujuan / Destination => Stasiun Yogyakarta L-1 _ Trans Jogja Tujuan / Destination => Stasiun Yogyakarta
SPBU Concat - A,-7.759985,110.394935,2A|12,2A _ Trans Jogja Tujuan / Destination => Terminal Condongcatur 12 _ Trans Jogja Tujuan / Destination => Terminal Condongcatur
SPBU Concat - B,-7.759677,110.395201,2B|12,2B _ Trans Jogja Tujuan / Destination => Prayan - B 12 _ Trans Jogja Tujuan / Destination => Prayan - B
SPBU Kaliurang - A,-7.710843,110.408906,12,12 _ Trans Jogja Tujuan / Destination => Wedangan Kampoeng - A
SPBU Kaliurang - B,-7.710957,110.408886,12,12 _ Trans Jogja Tujuan / Destination => SMPN 2 Ngaglik - B
SPBU Mindi - A,-7.704862,110.431029,14,14 _Trans Jogja Tujuan / Destination => Lap. Klidon - A
SPBU Mindi - B,-7.704813,110.431169,14,14 _Trans Jogja Tujuan / Destination => Simpang Losari - B
SPBU Monjali - A,-7.760138,110.369535,2A|5B,2A _ Trans Jogja Tujuan / Destination => Karangjati - A 5B _ Trans Jogja Tujuan / Destination => Teknik UGM - B
SPBU Monjali - B,-7.760151,110.369456,2B|5A,2B _ Trans Jogja Tujuan / Destination => PDAM Monjali - B 5A _ Trans Jogja Tujuan / Destination => PDAM Monjali - B
Stasiun Lempuyangan,-7.790246,110.377392,2B|4A|10,2B _ Trans Jogja Tujuan / Destination => Flyover Lempuyangan 4A _ Trans Jogja Tujuan / Destination => Tarumartani - A 10 _ Trans Jogja Tujuan / Destination => Tarumartani - A
Stasiun Yogyakarta,-7.789651,110.361724,1B|3B|8|EV3,1B _ Trans Jogja Tujuan / Destination => Jlagran 3B _ Trans Jogja Tujuan / Destination => Jlagran 8 _ Trans Jogja Tujuan / Destination => Jlagran EV3 _ Trans Jogja Tujuan / Destination => Jlagran
STIE Kerjasama,-7.816663,110.382853,2A|4B,2A _ Trans Jogja Tujuan / Destination => RS Hidayatullah 4B _ Trans Jogja Tujuan / Destination => UAD Jl. Pramuka
STIE YKPN - A,-7.767023,110.410413,5A,5A _ Trans Jogja Tujuan / Destination => UPN Veteran
STIE YKPN - B,-7.768445,110.410142,5B,5B _ Trans Jogja Tujuan / Destination => Babarsari - B
Stikes Guna Bangsa,-7.760772,110.408957,3B|5B,3B _ Trans Jogja Tujuan / Destination => Polsek Depok Timur - B 5B _ Trans Jogja Tujuan / Destination => STIE YKPN - B
STSRD Visi Tamansiswa,-7.813707,110.376536,4B,4B _ Trans Jogja Tujuan / Destination => STIE Kerjasama
Superindo Jakal - A,-7.752579,110.384644,12,12 _ Trans Jogja Tujuan / Destination => Pasar Kolombo - A
Superindo Jakal - B,-7.752641,110.384653,12,12 _ Trans Jogja Tujuan / Destination => Hokben Jakal - A
Superindo Urip Sumoharjo,-7.783094,110.382333,1A|4B|5B,1A _ Trans Jogja Tujuan / Destination => RS Bethesda 4B _ Trans Jogja Tujuan / Destination => Galeria Mall 5B _ Trans Jogja Tujuan / Destination => RS Bethesda
Suryodiningratan - A,-7.81846,110.362106,11,11 _ Trans Jogja Tujuan / Destination => SMAN 7
Suryodiningratan - B,-7.818522,110.362132,11,11 _ Trans Jogja Tujuan / Destination => Ruba Graha - B
Suryotomo,-7.79926,110.369312,1A|1B|6|10|15,1A _ Trans Jogja Tujuan / Destination => Progo 1B _ Trans Jogja Tujuan / Destination => Progo 6 _ Trans Jogja Tujuan / Destination => Progo 10 _ Trans Jogja Tujuan / Destination => Progo 15 _ Trans Jo
Susteran Novisiat,-7.76613,110.392154,2B|12,2B _ Trans Jogja Tujuan / Destination => Sanata Dharma 12 _ Trans Jogja Tujuan / Destination => Sanata Dharma
Taman Makam Pahlawan - A,-7.80184,110.383471,1B,1B _ Trans Jogja Tujuan / Destination => Makam Gajah - A
Taman Makam Pahlawan - B,-7.801843,110.382153,1B,1B _ Trans Jogja Tujuan / Destination => Pasar Sentul
Taman Pintar,-7.801416,110.367152,1A|1B|2A|6|10|15,1A _ Trans Jogja Tujuan / Destination => Suryotomo 1B _ Trans Jogja Tujuan / Destination => Museum Biologi 2A _ Trans Jogja Tujuan / Destination => Jogjatronik 6 _ Trans Jogja Tujuan / Destination => 
Tamansari,-7.809838,110.356008,3A|9|11|15,3A _ Trans Jogja Tujuan / Destination => Jokteng Kulon 9 _ Trans Jogja Tujuan / Destination => Jokteng Kulon 11 _ Trans Jogja Tujuan / Destination => Jokteng Kulon 15 _ Trans Jogja Tujuan / Destinatio
Tamantirto - A,-7.814469,110.32429,6,6 _ Trans Jogja Tujuan / Destination => UMY - A
Tamantirto - B,-7.816042,110.324271,6,6 _ Trans Jogja Tujuan / Destination => Universitas Alma Ata
Tarumartani - A,-7.790501,110.381988,10,10 _ Trans Jogja Tujuan / Destination => TNI AL - A
Tarumartani - B,-7.790535,110.381998,10,10 _ Trans Jogja Tujuan / Destination => Flyover Lempuyangan
Tegal Gendu - A,-7.826047,110.391763,3A,3A _ Trans Jogja Tujuan / Destination => Lap. Karang - A
Tegal Gendu - B,-7.825849,110.391365,3B,3B _ Trans Jogja Tujuan / Destination => Gudang SGM - B
Tegal Turi - A,-7.825394,110.387097,3A,3A_ Trans Jogja Tujuan / Destination => Gudang SGM - B
Tegal Turi - B,-7.825417,110.386933,3B,3B _ Trans Jogja Tujuan / Destination => Nitikan
Tejokusuman,-7.807916,110.356011,3B|6|9|10|11|15,3B _ Trans Jogja Tujuan / Destination => Ngabean 6 _ Trans Jogja Tujuan / Destination => Ngabean 9 _ Trans Jogja Tujuan / Destination => Ngabean 10 _ Trans Jogja Tujuan / Destination => Ngabean 11 _ T
Teknik UGM - A,-7.764241,110.374625,5A,5A _ Trans Jogja Tujuan / Destination => SPBU Monjali - B
Teknik UGM - B,-7.764118,110.374704,5B,5B _ Trans Jogja Tujuan / Destination => RS Sardjito - A
Teras 2,-7.791788,110.367586,1A|1B|6|10|15,1A _ Trans Jogja Tujuan / Destination => Eks Menara Kopi - A 1B _ Trans Jogja Tujuan / Destination => Abu Bakar Ali 6 _ Trans Jogja Tujuan / Destination => Malioboro 1 10 _ Trans Jogja Tujuan / Destin
Terminal Condongcatur,-7.756625,110.395875,2A|2B|3A|3B|5A|5B|12,2A _ Trans Jogja ! -- BERANGKAT / DEPARTURE -- ! Tujuan / Destination => Manggung 2B _ Trans Jogja ! -- BERANGKAT / DEPARTURE -- ! Tujuan / Destination => SPBU Concat - B 3A _ Trans Jogja Tujuan / Des
Terminal Giwangan,-7.834176,110.391835,3A|3B|4A|4B|9|11,3A _ Trans Jogja Tujuan / Destination => Pasar Giwangan - A 3B _ Trans Jogja ! -- BERANGKAT / DEPARTURE -- ! Tujuan / Destination => Pasar Giwangan - A 4A _ Trans Jogja ! -- BERANGKAT / DEPARTURE -- !
Terminal Jombor,-7.747405,110.361238,2A|2B|5A|5B|8|9|L-1,2A _ Trans Jogja Tujuan / Destination => Monjali - A 2B _ Trans Jogja Tujuan / Destination => Monjali - A 5A _ Trans Jogja ! -- BERANGKAT / DEPARTURE -- ! Tujuan / Destination => Indogrosir 5B _ Trans
Terminal Pakem,-7.666865,110.419988,12|14,12 _ Trans Jogja Tujuan / Destination => SDN Percobaan 3 Pakem 14 _ Trans Jogja Tujuan / Destination => SDN Percobaan 3 Pakem
Terminal Palbapang,-7.905322,110.318426,15,15 _ Trans Jogja ! -- BERANGKAT / DEPARTURE -- ! Tujuan / Destination = SMAN 1 Bantul - A
Terminal Prambanan,-7.755659,110.489817,1A,1A _ Trans Jogja Tujuan / Destination => Edotel Kalasan - A
